■ 개봉일람_연도별,,,,,,,,,,,,,,,,,
- 조회일: 2020-06-04,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2010~2019   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,"전국
스크린수","전국
매출액","전국
관객수","서울
매출액","서울
관객수",장르,등급,영화구분
3711,리벤져,이승원,(주)그린피쉬,,(주)리틀빅픽쳐스,2018-12-06,개봉영화,장편,한국,57,"22,088,100","3,028","5,707,000",658,액션,15세이상관람가,일반영화
3712,아이다,그레이엄 빅,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2012-12-22,개봉영화,장편,독일,2,"82,736,000","3,028","78,993,500","2,899",공연,전체관람가,독립/예술영화
3713,바세코의 아이들,김경식,타이밍(주),,주식회사 마운틴픽쳐스,2014-08-14,개봉영화,장편,한국,7,"18,034,500","3,024","4,255,000",665,다큐멘터리,전체관람가,독립/예술영화
3714,샷 콜러,릭 로먼 워,,(주)스톰픽쳐스코리아,(주)스톰픽쳐스코리아,2018-05-04,개봉영화,장편,미국,59,"20,491,100","3,021","10,027,000","1,607",범죄,청소년관람불가,독립/예술영화
3715,케이트 맥콜,카렌 몬크리프,,(주)메인타이틀픽쳐스,와이드 릴리즈(주),2014-05-22,개봉영화,장편,미국,24,"23,062,500","3,014","13,524,000","1,808",스릴러,15세이상관람가,일반영화
3716,선종 무문관,윤용진,,,(주)드림팩트엔터테인먼트,2018-12-13,개봉영화,장편,한국,3,"25,023,800","3,012","10,186,800","1,168",드라마,전체관람가,독립/예술영화
3717,호타루의 빛,요시노 히로시,,(주)영화사 조제,"골든타이드픽처스(주),(주)영화사 조제",2012-09-06,개봉영화,장편,일본,13,"23,127,500","2,989","18,339,500","2,330",멜로/로맨스,12세이상관람가,독립/예술영화
3718,극장판 헌터X헌터 : 팬텀루즈,사토 유조,,얼리버드,씨너스엔터테인먼트(주),2013-06-27,개봉영화,장편,일본,47,"18,568,000","2,988","9,744,500","1,588",애니메이션,15세이상관람가,일반영화
3719,광인옥한흠,김상철,파이오니아21,,파이오니아21,2017-12-28,개봉영화,장편,한국,18,"22,537,200","2,985","6,341,000",893,다큐멘터리,전체관람가,일반영화
3720,더 커널,이반 캐바나,,브런치메이트필름(주),"(주)영화사오원,(주)브리즈픽처스",2015-08-20,개봉영화,장편,아일랜드,44,"23,722,100","2,982","10,643,600","1,296",공포(호러),청소년관람불가,독립/예술영화
3721,다이빙벨 그후,이상호,(주)씨네포트,,(주)씨네포트,2018-05-24,개봉영화,장편,한국,48,"23,524,000","2,981","11,889,000","1,347",다큐멘터리,12세이상관람가,독립/예술영화
3722,하이 라이프,클레르 드니,,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,2019-10-30,개봉영화,장편,영국,28,"24,500,580","2,978","17,981,480","2,043",SF,청소년관람불가,독립/예술영화
3723,라이브 인 3D 휘성 : 잇츠 리얼,정성복,에스케이텔레콤(주),,에스케이텔레콤(주),2010-09-30,개봉영화,장편,한국,30,"40,389,134","2,967","26,837,000","2,014",다큐멘터리,전체관람가,일반영화
3724,나인스 라이프,알렉산더 아야,,(주)시네마엔터,(주)라이크 콘텐츠,2017-09-07,개봉영화,장편,영국,74,"22,545,500","2,964","9,996,500","1,247",미스터리,15세이상관람가,일반영화
3725,살인자의 기억법 : 새로운 기억,원신연,"(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,영화사 이창",,(주)쇼박스,2017-11-01,개봉영화,장편,한국,24,"19,563,000","2,958","9,579,500","1,379",범죄,청소년관람불가,일반영화
3726,파리의 한국남자,전수일,"(주)동녘필름,주식회사 마운틴픽쳐스,네온프로덕션",,(주)모멘텀엔터테인먼트,2016-01-28,개봉영화,장편,한국,24,"21,733,000","2,951","13,772,500","1,806",드라마,청소년관람불가,독립/예술영화
3727,우리는 언제나 성에 살았다,스테이시 패숀,,(주)엔케이컨텐츠,(주)디스테이션,2019-07-11,개봉영화,장편,미국,27,"24,015,480","2,950","18,450,620","2,236",미스터리,15세이상관람가,독립/예술영화
3728,"굿바이, 평양",양영희,지오엔터테인먼트,,(주)키노아이디엠씨,2011-03-03,개봉영화,장편,한국,11,"20,656,500","2,940","14,153,500","1,934",다큐멘터리,전체관람가,독립/예술영화
3729,전국: 천하영웅의 시대,금침,,(유)조이앤컨텐츠그룹,(유)조이앤컨텐츠그룹,2013-05-16,개봉영화,장편,중국,5,"13,958,000","2,938","8,210,000","1,510",액션,15세이상관람가,일반영화
3730,지킬 앤 하이드,돈 로이 킹,,(주) 인스터 글로벌,(주) 인스터 글로벌,2013-03-06,개봉영화,장편,미국,10,"52,004,000","2,938","41,001,000","2,325",뮤지컬,12세이상관람가,일반영화
3731,실버벨,해롤드 크론크,,(재)CBS,(재)CBS,2016-12-15,개봉영화,장편,미국,21,"21,802,000","2,935","13,449,000","1,797",코미디,전체관람가,일반영화
3732,롱 폴링,마르탱 프로보스트,,(주)컴퍼니엘,(주)스크린와이즈,2012-10-25,개봉영화,장편,프랑스,11,"21,536,800","2,934","17,647,800","2,255",드라마,청소년관람불가,독립/예술영화
3733,나와 봄날의 약속,백승빈,(주)마일스톤컴퍼니,,씨네그루(주)키다리이엔티,2018-06-28,개봉영화,장편,한국,86,"22,032,500","2,929","13,894,400","1,855",미스터리,15세이상관람가,독립/예술영화
3734,삼국-무영자,장예모,,"(유)조이앤시네마,(주)일레븐엔터테인먼트",(주)제이앤씨미디어그룹,2018-12-13,개봉영화,장편,중국,38,"15,548,500","2,927","7,750,000","1,080",액션,15세이상관람가,일반영화
3735,굿바이 보이,노홍진,"(주)컬처캡미디어,(주)오픈유컬쳐",,㈜인디스토리,2011-06-02,개봉영화,장편,한국,16,"22,340,000","2,913","13,500,000","1,707",드라마,청소년관람불가,독립/예술영화
3736,더 원 아이 러브,찰리 맥도웰,,(주)홈초이스,(주)팝엔터테인먼트,2015-11-05,개봉영화,장편,미국,58,"22,910,500","2,910","10,575,500","1,294",판타지,15세이상관람가,독립/예술영화
3737,히치콕 트뤼포,켄트 존스,,(주)영화사 안다미로,(주)영화사 안다미로,2016-08-25,개봉영화,장편,프랑스,18,"23,264,100","2,901","18,436,500","2,189",다큐멘터리,15세이상관람가,독립/예술영화
3738,이것이 우리의 끝이다,김경묵,,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2014-06-26,개봉영화,장편,한국,25,"21,283,800","2,898","15,885,300","2,090",드라마,청소년관람불가,독립/예술영화
3739,오장군의 발톱,김재한,상남영화제작소,,상남영화제작소,2018-08-15,개봉영화,장편,한국,9,"16,370,600","2,894","1,179,000",323,전쟁,12세이상관람가,독립/예술영화
3740,폴링 스노우,샤밈 샤리프,,주식회사 디에스이이디,주식회사 디에스이이디,2017-02-09,개봉영화,장편,영국,22,"20,078,000","2,892","15,755,000","2,145",멜로/로맨스,15세이상관람가,독립/예술영화
3741,엽문4: 종극일전,구예도,,(주)소나무픽쳐스,(주)소나무픽쳐스,2013-06-27,개봉영화,장편,홍콩,5,"16,017,000","2,888","16,017,000","2,888",드라마,15세이상관람가,일반영화
3742,밤의 문이 열린다,"유은정,유은정",영화사 리듬앤블루스,,"무브먼트,영화배급협동조합 씨네소파",2019-08-15,개봉영화,장편,한국,20,"22,690,100","2,887","16,635,400","1,916",판타지,12세이상관람가,독립/예술영화
3743,시간을 달리는 소녀,타니구치 마사키,,(주)아인스M&M,예지림엔터테인먼트,2011-03-24,개봉영화,장편,일본,13,"21,057,000","2,886","15,109,500","2,054",판타지,전체관람가,독립/예술영화
3744,집의 시간들,라야,,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2018-10-25,개봉영화,장편,한국,20,"24,646,950","2,882","21,579,950","2,435",다큐멘터리,전체관람가,독립/예술영화
3745,내일의 죠,소리 후미히코,,,(주)미디어데이,2011-06-30,개봉영화,장편,일본,22,"22,219,000","2,881","14,365,000","1,834",드라마,15세이상관람가,일반영화
3746,남쪽으로 간다,이송희일,(주)시네마달,,(주)시네마달,2012-11-15,개봉영화,장편,한국,11,"10,532,250","2,877","8,586,000","2,298",멜로/로맨스,청소년관람불가,독립/예술영화
3747,바비,에밀리오 에스테베즈,더 웨인스테인 컴퍼니,(주)케이알씨지,주식회사 마운틴픽쳐스,2010-02-04,개봉영화,장편,미국,17,"22,454,545","2,867","18,138,000","2,265",드라마,15세이상관람가,독립/예술영화
3748,고양이 장례식,이종훈,영화 고양이 장례식 제작 조합,,(주)인디플러그,2015-01-15,개봉영화,장편,한국,46,"23,200,900","2,865","17,496,200","2,146",멜로/로맨스,12세이상관람가,독립/예술영화
3749,재키 앤 라이언,아미 카난 만,,(주)콘텐츠윙,(주)팝엔터테인먼트,2015-11-19,개봉영화,장편,미국,62,"22,080,000","2,860","11,856,000","1,483",드라마,12세이상관람가,독립/예술영화
3750,당신을 오랫동안 사랑했어요,필립 클로델,,위드시네마,주식회사 마운틴픽쳐스,2010-01-07,개봉영화,장편,프랑스,3,"20,401,309","2,858","16,676,000","2,243",드라마,15세이상관람가,독립/예술영화
3751,레디액션 청춘,"김진무,박가희,주성수,정원식","(주)인벤트스톤,(주)삼거리픽쳐스",,(주)인벤트스톤,2014-11-13,개봉영화,옴니버스,한국,22,"22,317,300","2,855","17,852,300","2,228",드라마,청소년관람불가,독립/예술영화
3752,아이다,,,(주) 인스터 글로벌,(주) 인스터 글로벌,2019-02-02,개봉영화,장편,미국,6,"69,960,000","2,854","50,853,000","2,086",공연,전체관람가,일반영화
3753,우리가 들려줄 이야기,사라 폴리,,(주)영화사 조제,(주)영화사 조제,2014-03-13,개봉영화,장편,캐나다,3,"21,933,400","2,847","19,727,400","2,506",다큐멘터리,15세이상관람가,독립/예술영화
3754,나이트 오브 컵스,테렌스 맬릭,,"(주)프레인글로벌,(주)수키픽쳐스",(주)프레인글로벌,2015-11-12,개봉영화,장편,미국,37,"21,438,500","2,844","12,453,100","1,551",드라마,청소년관람불가,독립/예술영화
3755,에벌리,조 린치,,㈜코리아스크린,와이드 릴리즈(주),2015-06-04,개봉영화,장편,미국,47,"18,036,500","2,839","7,677,000","1,056",액션,청소년관람불가,일반영화
3756,밀양 아리랑,박배일,오지필름,,(주)시네마달,2015-07-16,개봉영화,장편,한국,14,"17,209,000","2,837","9,042,000","1,442",다큐멘터리,15세이상관람가,독립/예술영화
3757,세컨드 마더,안나 무이라에르트,,(주)블룸즈베리리소시스리미티드,(주)블룸즈베리리소시스리미티드,2015-11-12,개봉영화,장편,브라질,18,"20,646,000","2,830","15,170,500","1,944",가족,12세이상관람가,독립/예술영화
3758,기동전사 건담 디 오리진Ⅵ: 탄생 붉은 혜성,야스히코 요시카즈,,(주)에스피오 엔터테인먼트코리아,(주)디스테이션,2018-06-13,개봉영화,장편,일본,51,"25,656,500","2,821","15,540,500","1,585",애니메이션,12세이상관람가,독립/예술영화
3759,퍼스널 이펙츠,데이빗 홀랜더,,(유)조이앤컨텐츠그룹,프리비젼엔터테인먼트,2012-01-26,개봉영화,장편,미국,12,"20,879,000","2,816","14,918,500","1,943",드라마,15세이상관람가,독립/예술영화
3760,제7의 봉인,잉마르 베리만,,㈜영화사 백두대간,㈜영화사 백두대간,2012-05-10,개봉영화,장편,스웨덴,1,"23,433,000","2,808","23,433,000","2,808",드라마,12세이상관람가,독립/예술영화
3761,시간의 종말,김대현,인디라인,,(주)영화사 진진,2016-11-03,개봉영화,장편,한국,33,"19,339,400","2,807","9,157,800","1,239",다큐멘터리,전체관람가,독립/예술영화
3762,플래티나 데이터,오오토모 케이시,,(주)도키엔터테인먼트,(주)미디어데이,2013-12-12,개봉영화,장편,일본,7,"16,974,500","2,802","15,929,000","2,606",SF,15세이상관람가,일반영화
3763,레인보우,신수원,준필름,,㈜인디스토리,2010-11-18,개봉영화,장편,한국,10,"20,582,634","2,800","15,315,100","2,018",드라마,12세이상관람가,독립/예술영화
3764,REC 알이씨,소준문,핑크로봇 필름,,(주)영화사 진진,2011-11-24,개봉영화,장편,한국,7,"22,284,700","2,799","20,050,700","2,437",멜로/로맨스,청소년관람불가,독립/예술영화
3765,미이라 : 피라미드의 비밀,로저 크리스찬,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-07-31,개봉영화,장편,미국,20,"8,666,000","2,797","3,484,000","1,656",액션,15세이상관람가,일반영화
3766,설해,김정권,(주)맑음영화사,,"(주)마인스 엔터테인먼트,주식회사 마운틴픽쳐스",2015-01-08,개봉영화,장편,한국,34,"20,767,500","2,796","10,191,000","1,317",멜로/로맨스,12세이상관람가,독립/예술영화
3767,언 애듀케이션,론 쉐르픽,비비씨필름즈,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-03-18,개봉영화,장편,영국,3,"21,358,842","2,794","20,371,500","2,651",드라마,15세이상관람가,일반영화
3768,불청객,이응일,삼천리영화사,,(주)이모션픽처스,2010-09-30,개봉영화,장편,한국,1,"19,755,168","2,792","16,061,500","2,268",SF,12세이상관람가,독립/예술영화
3769,파리 투 마르세유: 2주간의 여행,라시드 드자이다니,,(주)브리즈픽처스,"(주)디스테이션,(주)브리즈픽처스",2017-09-07,개봉영화,장편,프랑스,33,"20,947,500","2,792","16,851,000","2,209",드라마,12세이상관람가,독립/예술영화
3770,바쿠만,오오네 히토시,,(주)엔케이컨텐츠,(주)디스테이션,2016-04-21,개봉영화,장편,일본,73,"22,348,700","2,791","13,167,500","1,642",드라마,12세이상관람가,독립/예술영화
3771,월터 교수의 마지막 강의,팀 블레이크 넬슨,,주식회사 씨네룩스,주식회사 씨네룩스,2016-03-17,개봉영화,장편,미국,28,"19,747,000","2,791","9,468,000","1,250",드라마,청소년관람불가,독립/예술영화
3772,토리노의 말,벨라 타르,,(재)전주국제영화제조직위원회,(재)전주국제영화제조직위원회,2012-02-23,개봉영화,장편,헝가리,1,"21,396,500","2,786","17,990,500","2,171",드라마,15세이상관람가,독립/예술영화
3773,미 앤 유,베르나르도 베르톨루치,,오드,오드,2014-02-27,개봉영화,장편,이탈리아,15,"20,864,900","2,780","17,974,900","2,227",드라마,15세이상관람가,독립/예술영화
3774,옹알스,"차인표,전혜림",(주)티케이씨픽쳐스,,(주)리틀빅픽쳐스,2019-05-30,개봉영화,장편,한국,68,"22,163,230","2,772","14,240,600","1,622",코미디,전체관람가,독립/예술영화
3775,그녀가 부른다,박은형,(주)아피아스튜디오,,(주)미디어데이,2013-12-26,개봉영화,장편,한국,32,"16,314,000","2,768","8,707,000","1,268",멜로/로맨스,15세이상관람가,독립/예술영화
3776,나부야 나부야,최정우,,,㈜인디스토리,2018-09-20,개봉영화,장편,한국,18,"14,895,400","2,765","7,792,800","1,550",다큐멘터리,전체관람가,독립/예술영화
3777,이티피 페스티벌 08X09 서태지,서태지,(주)서태지컴퍼니,,(주)서태지컴퍼니,2013-05-03,개봉영화,장편,한국,1,"26,632,000","2,764","26,632,000","2,764",공연,전체관람가,일반영화
3778,부모님과 이혼하는 방법,제이슨 베이트먼,,주식회사 씨네룩스,주식회사 씨네룩스,2016-05-12,개봉영화,장편,미국,37,"19,960,500","2,758","13,331,500","1,756",드라마,15세이상관람가,독립/예술영화
3779,쇼콜라,로쉬디 젬,,판씨네마(주),판씨네마(주),2017-03-09,개봉영화,장편,프랑스,52,"20,408,000","2,757","10,772,500","1,371",드라마,12세이상관람가,독립/예술영화
3780,"앵두야, 연애하자",정하린,프로덕션 LAS,,"홀리가든,주식회사 마운틴픽쳐스",2013-06-06,개봉영화,장편,한국,9,"19,430,700","2,754","13,303,200","1,785",드라마,15세이상관람가,독립/예술영화
3781,언더 더 스킨,조나단 글레이저,,씨네그루(주)다우기술,씨네그루(주)다우기술,2014-07-17,개봉영화,장편,영국,20,"14,167,000","2,750","10,520,000","2,037",SF,청소년관람불가,독립/예술영화
3782,콜드 워,"써니 럭,렁록만",,그린나래미디어(주),(주)앤드플러스미디어웍스,2013-09-05,개봉영화,장편,홍콩,18,"16,668,500","2,749","12,176,000","1,988",범죄,15세이상관람가,독립/예술영화
3783,하우 투 비,올리버 어빙,하우투비 필름,오드,실버스푼,2010-01-28,개봉영화,장편,영국,19,"19,801,390","2,746","8,050,000","1,054",코미디,12세이상관람가,독립/예술영화
3784,굿타임,"조쉬 사프디,베니 사프디",,주식회사 더쿱,(주)드림팩트엔터테인먼트,2018-01-04,개봉영화,장편,미국,19,"20,722,500","2,743","15,682,500","1,970",범죄,15세이상관람가,독립/예술영화
3785,막다른 골목의 추억,최현영,(주)영화사조아,,(주)트리플픽쳐스,2019-04-04,개봉영화,장편,한국,17,"21,257,740","2,741","16,199,240","1,869",멜로/로맨스,12세이상관람가,독립/예술영화
3786,분장,남연우,이야기秀CUT,,무브먼트,2017-09-27,개봉영화,장편,한국,17,"20,242,300","2,737","15,855,500","2,017",드라마,15세이상관람가,독립/예술영화
3787,산타 앤 컴퍼니,알랭 샤바,,위드 라이언 픽쳐스,(주)디스테이션,2019-12-12,개봉영화,장편,프랑스,57,"21,524,900","2,735","12,238,600","1,417",판타지,전체관람가,독립/예술영화
3788,밍크코트,"신아가,이상철",애즈필름,,㈜인디스토리,2012-01-12,개봉영화,장편,한국,13,"20,356,600","2,731","15,443,100","1,988",드라마,15세이상관람가,독립/예술영화
3789,여배우 공작단,전태윤,(주)케이알씨지,,(주)케이알씨지,2014-06-19,개봉영화,장편,한국,21,"15,839,000","2,729","6,361,000","1,015",멜로/로맨스,청소년관람불가,일반영화
3790,괴물들,김백준,"(주)케이프로덕션,버티고필름,플로우식스(주)",,(주)리틀빅픽쳐스,2018-03-08,개봉영화,장편,한국,56,"22,584,500","2,725","9,275,800","1,087",드라마,청소년관람불가,독립/예술영화
3791,아이엠 호프맨,나현태,52DAYS FILM,,52DAYS FILM,2017-11-16,개봉영화,장편,한국,7,"19,892,000","2,724","17,143,500","2,236",다큐멘터리,전체관람가,독립/예술영화
3792,이웃집 좀비,"오영두,류훈,홍서백,장윤정",키노망고스틴,,㈜인디스토리,2010-02-18,개봉영화,옴니버스,한국,12,"19,933,671","2,721","12,856,700","1,715",공포(호러),15세이상관람가,독립/예술영화
3793,토미카 무비,오카모토 토모로,,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2014-12-11,개봉영화,장편,일본,33,"17,586,000","2,719","7,092,000","1,065",애니메이션,전체관람가,독립/예술영화
3794,진저 앤 로사,샐리 포터,,그린나래미디어(주),그린나래미디어(주),2014-05-15,개봉영화,장편,영국,17,"19,507,500","2,699","14,970,500","2,000",드라마,15세이상관람가,독립/예술영화
3795,릴라와 마법의 책,마르셀라 링콘 곤잘레스,,씨네힐,(주)영화사오원,2018-11-08,개봉영화,장편,콜롬비아,24,"14,141,000","2,698",0,0,어드벤처,전체관람가,독립/예술영화
3796,겁쟁이 페달: 리라이드,나베시마 오사무,,(주)미디어캐슬,(주)미디어캐슬,2016-01-14,개봉영화,장편,일본,7,"18,320,192","2,697","13,914,324","2,062",애니메이션,전체관람가,독립/예술영화
3797,줄탁동시,김경묵,"얼라이브픽쳐스,경픽쳐스",,㈜인디스토리,2012-03-01,개봉영화,장편,한국,16,"19,403,100","2,692","14,001,600","1,865",드라마,청소년관람불가,독립/예술영화
3798,창피해,김수현,더블엔비컴퍼니(주),,주식회사 마운틴픽쳐스,2011-12-08,개봉영화,장편,한국,12,"19,826,700","2,690","12,127,200","1,535",멜로/로맨스,청소년관람불가,독립/예술영화
3799,팬텀: 라스트 커맨더,토드 로빈슨,,주식회사 루믹스미디어,브릿지웍스 엔터테인먼트(주),2013-07-04,개봉영화,장편,미국,46,"19,102,500","2,684","6,006,000",802,액션,15세이상관람가,일반영화
3800,여배우는 너무해,유정환,골든타이드픽처스(주),,(주)인벤트스톤,2014-02-27,개봉영화,장편,한국,42,"19,836,400","2,673","9,895,500","1,290",멜로/로맨스,청소년관람불가,일반영화
3801,중화 명탐정,나지량,,(주)소나무픽쳐스,(주)소나무픽쳐스,2013-07-26,개봉영화,장편,중국,4,"10,368,000","2,673","10,368,000","2,673",액션,15세이상관람가,독립/예술영화
3802,디테일스,제이콥 아론 이스터스,,(주)유니코리아문예투자,예지림엔터테인먼트,2013-04-11,개봉영화,장편,미국,12,"20,148,500","2,669","13,812,000","1,753",코미디,청소년관람불가,독립/예술영화
3803,베카신!,브뤼노 포달리데,,(주)마노엔터테인먼트,(주)마노엔터테인먼트,2019-04-25,개봉영화,장편,프랑스,16,"19,910,210","2,666","13,672,610","1,793",가족,전체관람가,독립/예술영화
3804,샤크어택,스콧 휠러,,,(주)소나무픽쳐스,2014-09-04,개봉영화,장편,캐나다,20,"7,885,000","2,664","3,105,000","1,464",액션,청소년관람불가,독립/예술영화
3805,깨끗하고 연약한,신조 타케히코,,(주)시네마천국,(유)영화사 화수분,2014-10-30,개봉영화,장편,일본,12,"18,232,600","2,661","13,821,300","2,084",멜로/로맨스,12세이상관람가,독립/예술영화
3806,노조키메,미키 코이치로,,브릿지웍스 엔터테인먼트(주),브릿지웍스 엔터테인먼트(주),2016-08-10,개봉영화,장편,일본,49,"20,793,900","2,661","7,902,000",930,공포(호러),15세이상관람가,독립/예술영화
3807,마술피리,,,(주)케빈앤컴퍼니,(주)쓰리캣프로덕션,2014-08-02,개봉영화,장편,독일,5,"40,326,500","2,658","31,121,000","2,024",공연,전체관람가,독립/예술영화
3808,바람의 검심,오오토모 케이시,,(주)도키엔터테인먼트,"(주)도키엔터테인먼트,예지림엔터테인먼트",2013-01-03,개봉영화,장편,일본,7,"20,105,500","2,648","13,487,500","1,719",액션,청소년관람불가,독립/예술영화
3809,사이즈의 문제,"샤론 메이몬,에레즈 다드모르",K5 FILM,벨진인터내셔널,프리비젼엔터테인먼트,2010-04-15,개봉영화,장편,이스라엘,12,"20,086,567","2,647","16,672,400","2,169",드라마,12세이상관람가,독립/예술영화
3810,조류인간,신연식,(주) 루스이소니도스,,(주) 루스이소니도스,2015-02-26,개봉영화,장편,한국,21,"20,120,700","2,640","16,765,700","2,129",드라마,15세이상관람가,독립/예술영화
3811,백설공주의 마지막 키스,파블로 베르헤르,,㈜영화사 백두대간,㈜영화사 백두대간,2014-05-01,개봉영화,장편,스페인,10,"21,592,400","2,635","17,837,400","2,064",드라마,12세이상관람가,독립/예술영화
3812,히어 애프터,매그너스 본 혼,,(주)엣나인필름,(주)엣나인필름,2016-05-12,개봉영화,장편,폴란드,26,"20,268,037","2,633","16,573,037","2,048",드라마,15세이상관람가,독립/예술영화
3813,온 더 로드,월터 살레스,,(주)영화사 조제,하준사,2014-03-27,개봉영화,장편,미국,11,"20,155,500","2,622","17,585,500","2,207",어드벤처,청소년관람불가,독립/예술영화
3814,더 크로니클: 뮤턴트의 반격,제제 다카히사,,(주)엔케이컨텐츠,(주)영화사오원,2015-11-12,개봉영화,장편,일본,41,"20,126,500","2,613","17,107,500","2,205",SF,15세이상관람가,독립/예술영화
3815,뮤즈 드론즈 월드투어 실황,톰 커크,,에스디시코리아 주식회사,에스디시코리아 주식회사,2018-07-12,개봉영화,장편,영국,32,"36,537,500","2,613","21,830,500","1,597",공연,12세이상관람가,일반영화
3816,엘로이즈: 그녀들의 사랑,지저스 가라이,,스크린조이,스크린조이,2014-02-06,개봉영화,장편,스페인,5,"2,600,000","2,610","1,000,000",200,드라마,청소년관람불가,일반영화
3817,바람에 젖은 여자,시오타 아키히코,,(주)오렌지옐로우하임,"(주)오렌지옐로우하임,홀리가든",2017-05-25,개봉영화,장편,일본,10,"19,174,000","2,602","16,085,000","2,124",코미디,청소년관람불가,독립/예술영화
3818,내 아내와 결혼해 주세요,미야케 요시시게,,(주)미디어캐슬,(주)스마일이엔티,2017-05-18,개봉영화,장편,일본,49,"20,128,000","2,600","12,139,500","1,529",멜로/로맨스,전체관람가,독립/예술영화
3819,오마르,하니 아부 아사드,,감 픽쳐스,(주)판다미디어,2015-02-05,개봉영화,장편,팔레스타인,16,"18,043,400","2,597","11,419,400","1,486",드라마,15세이상관람가,독립/예술영화
3820,사토미를 찾아라,NEW PISTOL,(주)어나더스타,,브릿지웍스 엔터테인먼트(주),2014-10-16,개봉영화,장편,한국,20,"13,164,000","2,595","6,856,000","1,313",코미디,청소년관람불가,일반영화
3821,미스테리어스 스킨,그렉 아라키,,찬란,찬란,2017-11-23,개봉영화,장편,미국,33,"19,650,558","2,587","16,308,158","2,111",드라마,청소년관람불가,독립/예술영화
3822,이로도리 인생2막,미노리카와 오사무,,다솔기획,"다솔기획,(주)추억을 파는 극장",2013-09-27,개봉영화,장편,일본,1,"5,212,000","2,586","5,212,000","2,586",드라마,12세이상관람가,독립/예술영화
3823,파밍 보이즈,"장세정,변시연,강호준",(주)콘텐츠나무,,(주)영화사 진진,2017-07-13,개봉영화,장편,한국,24,"17,564,200","2,586","10,077,500","1,369",다큐멘터리,전체관람가,독립/예술영화
3824,브로큰,루퍼스 노리스,,판씨네마(주),판씨네마(주),2013-07-18,개봉영화,장편,영국,16,"17,884,000","2,582","11,899,000","1,694",드라마,청소년관람불가,독립/예술영화
3825,리틀 제이콥,유형,데이브인터랙티브,,데이브인터랙티브,2012-11-08,개봉영화,장편,한국,9,"11,336,000","2,581","7,510,000","1,710",애니메이션,전체관람가,독립/예술영화
3826,죽은 자의 제국,마키하라 료타로,,(주)미디어캐슬,(주)프레인글로벌,2016-02-25,개봉영화,장편,일본,43,"19,453,500","2,581","10,268,000","1,306",애니메이션,15세이상관람가,독립/예술영화
3827,단델리온 더스트,존 건,,가나미디어,주식회사 마운틴픽쳐스,2012-05-10,개봉영화,장편,미국,31,"17,482,000","2,579","9,325,500","1,269",드라마,12세이상관람가,독립/예술영화
3828,태극권 2014 : 어전시위,지아오 시아오유,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-10-02,개봉영화,장편,중국,21,"8,122,000","2,579","3,130,000","1,466",액션,15세이상관람가,독립/예술영화
3829,매니악 : 슬픈 살인의 기록,프랭크 칼폰,,(주)퍼스트런,(주)퍼스트런,2013-07-04,개봉영화,장편,미국,34,"19,046,000","2,578","7,401,500",989,공포(호러),청소년관람불가,일반영화
3830,대공습,페테르 내스,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-09-25,개봉영화,장편,노르웨이,20,"7,498,000","2,572","3,126,000","1,461",전쟁,15세이상관람가,독립/예술영화
3831,플러스 원,데니스 일리아디스,,(주)에이블엔터테인먼트,(주)팝엔터테인먼트,2014-09-25,개봉영화,장편,미국,35,"19,587,100","2,569","8,217,600","1,037",스릴러,청소년관람불가,독립/예술영화
3832,슈퍼쇼 4 3D,유호진,(주)에스엠엔터테인먼트,,(주)마인스 엔터테인먼트,2013-08-08,개봉영화,장편,한국,26,"30,332,000","2,567","22,394,000","1,850",공연,전체관람가,일반영화
3833,마법안개의 비밀: 황금 보물선을 찾아라,카스파 앤시스,,,와이드 릴리즈(주),2019-11-14,개봉영화,장편,에스토니아,85,"18,025,960","2,564","4,769,100",582,애니메이션,전체관람가,일반영화
3834,히어 앤 데어,다코 룬구로브,,㈜인디스토리,㈜인디스토리,2011-12-15,개봉영화,장편,미국,9,"17,857,000","2,553","12,872,000","1,797",멜로/로맨스,15세이상관람가,독립/예술영화
3835,사랑은 부엉부엉,람지 베디아,,찬란,찬란,2016-12-29,개봉영화,장편,프랑스,21,"19,766,200","2,546","15,084,000","1,904",드라마,12세이상관람가,독립/예술영화
3836,택시,자파르 파나히,,주식회사 씨네룩스,주식회사 씨네룩스,2015-11-05,개봉영화,장편,이란,17,"17,804,100","2,540","12,344,500","1,625",드라마,전체관람가,독립/예술영화
