url_list,movie_names
/movie/bi/mi/basic.nhn?code=16792,흐르는 강물처럼
/movie/bi/mi/basic.nhn?code=156912,"안녕, 나의 소울메이트"
/movie/bi/mi/basic.nhn?code=62390,비투스
/movie/bi/mi/basic.nhn?code=93094,48미터
/movie/bi/mi/basic.nhn?code=33422,존 큐
/movie/bi/mi/basic.nhn?code=16906,서편제
/movie/bi/mi/basic.nhn?code=76048,퍼펙트 게임
/movie/bi/mi/basic.nhn?code=51787,대니쉬 걸
/movie/bi/mi/basic.nhn?code=70562,시
/movie/bi/mi/basic.nhn?code=68498,피아노의 숲
/movie/bi/mi/basic.nhn?code=129072,스포트라이트
/movie/bi/mi/basic.nhn?code=31524,파인딩 포레스터
/movie/bi/mi/basic.nhn?code=172425,서치
/movie/bi/mi/basic.nhn?code=87571,부러진 화살
/movie/bi/mi/basic.nhn?code=97652,뜨거운 안녕
/movie/bi/mi/basic.nhn?code=50785,사랑 후에 남겨진 것들
/movie/bi/mi/basic.nhn?code=51049,여행자
/movie/bi/mi/basic.nhn?code=64354,행복을 찾아서
/movie/bi/mi/basic.nhn?code=175366,나의 특별한 형제
/movie/bi/mi/basic.nhn?code=103331,스윗 프랑세즈
/movie/bi/mi/basic.nhn?code=154653,툴리
/movie/bi/mi/basic.nhn?code=137865,세상을 바꾼 변호인
/movie/bi/mi/basic.nhn?code=39399,주먹이 운다
/movie/bi/mi/basic.nhn?code=177483,배심원들
/movie/bi/mi/basic.nhn?code=39405,웰컴 투 동막골
/movie/bi/mi/basic.nhn?code=10086,미션
/movie/bi/mi/basic.nhn?code=179307,벌새
/movie/bi/mi/basic.nhn?code=37739,인어 공주
/movie/bi/mi/basic.nhn?code=139523,앙: 단팥 인생 이야기
/movie/bi/mi/basic.nhn?code=17255,매디슨 카운티의 다리
/movie/bi/mi/basic.nhn?code=80774,청원
/movie/bi/mi/basic.nhn?code=35626,8 마일
/movie/bi/mi/basic.nhn?code=120125,장수상회
/movie/bi/mi/basic.nhn?code=149504,1급기밀
/movie/bi/mi/basic.nhn?code=31456,초콜릿
/movie/bi/mi/basic.nhn?code=10741,연인
/movie/bi/mi/basic.nhn?code=127321,우먼 인 골드
/movie/bi/mi/basic.nhn?code=179318,일일시호일
/movie/bi/mi/basic.nhn?code=43609,드리머
/movie/bi/mi/basic.nhn?code=75606,천사의 사랑
/movie/bi/mi/basic.nhn?code=17059,중경삼림
/movie/bi/mi/basic.nhn?code=10640,좋은 친구들
/movie/bi/mi/basic.nhn?code=73075,노다메 칸타빌레 최종악장
/movie/bi/mi/basic.nhn?code=71768,파이터
/movie/bi/mi/basic.nhn?code=26544,스왈로우테일 버터플라이
/movie/bi/mi/basic.nhn?code=82239,디태치먼트
/movie/bi/mi/basic.nhn?code=10055,람보
/movie/bi/mi/basic.nhn?code=32593,크레이지 뷰티풀
/movie/bi/mi/basic.nhn?code=38546,아무도 모른다
/movie/bi/mi/basic.nhn?code=23859,내 마음의 풍금
/movie/bi/mi/basic.nhn?code=43206,각설탕
/movie/bi/mi/basic.nhn?code=72081,"어느 날, 사랑이 걸어왔다"
/movie/bi/mi/basic.nhn?code=138601,여배우는 오늘도
/movie/bi/mi/basic.nhn?code=10742,원초적 본능
/movie/bi/mi/basic.nhn?code=103719,그렇게 아버지가 된다
/movie/bi/mi/basic.nhn?code=73477,글러브
/movie/bi/mi/basic.nhn?code=18865,티벳에서의 7년
/movie/bi/mi/basic.nhn?code=28795,처음 만나는 자유
/movie/bi/mi/basic.nhn?code=83098,페이스 메이커
/movie/bi/mi/basic.nhn?code=28214,무사
/movie/bi/mi/basic.nhn?code=10100,탑건
/movie/bi/mi/basic.nhn?code=115240,10분
/movie/bi/mi/basic.nhn?code=36617,봄 여름 가을 겨울 그리고 봄
/movie/bi/mi/basic.nhn?code=17946,초록물고기
/movie/bi/mi/basic.nhn?code=130983,트럼보
/movie/bi/mi/basic.nhn?code=117061,거인
/movie/bi/mi/basic.nhn?code=18285,라빠르망
/movie/bi/mi/basic.nhn?code=179974,라스트 미션
/movie/bi/mi/basic.nhn?code=147388,"스탠바이, 웬디"
/movie/bi/mi/basic.nhn?code=149731,패트리어트 데이
/movie/bi/mi/basic.nhn?code=158610,쓰리 빌보드
/movie/bi/mi/basic.nhn?code=31282,레퀴엠
/movie/bi/mi/basic.nhn?code=29378,패트리어트 - 늪 속의 여우
/movie/bi/mi/basic.nhn?code=58538,믿음의 승부
/movie/bi/mi/basic.nhn?code=96961,집으로 가는 길
/movie/bi/mi/basic.nhn?code=19541,오픈 유어 아이즈
/movie/bi/mi/basic.nhn?code=130957,스트레이트 아웃 오브 컴턴
/movie/bi/mi/basic.nhn?code=139674,순정
/movie/bi/mi/basic.nhn?code=86197,나우 이즈 굿
/movie/bi/mi/basic.nhn?code=100639,달라스 바이어스 클럽
/movie/bi/mi/basic.nhn?code=72631,두레소리
/movie/bi/mi/basic.nhn?code=132991,미라클 벨리에
/movie/bi/mi/basic.nhn?code=159845,크게 될 놈
/movie/bi/mi/basic.nhn?code=51624,이번 일요일에
/movie/bi/mi/basic.nhn?code=99724,한공주
/movie/bi/mi/basic.nhn?code=64961,집오리와 들오리의 코인로커
/movie/bi/mi/basic.nhn?code=10793,택시 드라이버
/movie/bi/mi/basic.nhn?code=78681,인 어 베러 월드
/movie/bi/mi/basic.nhn?code=119632,위플래쉬
/movie/bi/mi/basic.nhn?code=149479,델타 보이즈
/movie/bi/mi/basic.nhn?code=80866,완득이
/movie/bi/mi/basic.nhn?code=113348,이미테이션 게임
