url_list,movie_names,kr_movie_names,director_list,main_actor_list,ntz_score_list,ntz_count_list,running_time_list
/movie/bi/mi/basic.nhn?code=54973,에반게리온: 파,에반게리온: 파,"안노 히데아키, 마샤유키, 츠루마키 카즈야","오가타 메구미, 하야시바라 메구미, 미야무라 유코",9.08,2126,108
/movie/bi/mi/basic.nhn?code=30897,리멤버 타이탄,리멤버 타이탄,보아즈 야킨,덴젤 워싱톤,9.24,1780,113
/movie/bi/mi/basic.nhn?code=58323,에이트 빌로우,에이트 빌로우,프랭크 마샬,폴 워커,9.26,4152,120
/movie/bi/mi/basic.nhn?code=10670,천녀유혼,천녀유혼,정소동,"장국영, 왕조현",9.29,1898,98
/movie/bi/mi/basic.nhn?code=24094,패치 아담스,패치 아담스,톰 새디악,로빈 윌리엄스,9.12,1193,115
/movie/bi/mi/basic.nhn?code=31159,패밀리 맨,패밀리 맨,브렛 래트너,"니콜라스 케이지, 티아 레오니",9.25,1975,124
/movie/bi/mi/basic.nhn?code=19099,트루먼 쇼,트루먼 쇼,피터 위어,짐 캐리,9.34,6743,103
/movie/bi/mi/basic.nhn?code=19074,가타카,가타카,앤드류 니콜,"에단 호크, 우마 서먼",9.24,3815,106
/movie/bi/mi/basic.nhn?code=19031,러브 레터,러브레터,이와이 슌지,나카야마 미호,9.11,6024,117
/movie/bi/mi/basic.nhn?code=13957,사랑의 블랙홀,사랑의 블랙홀,해롤드 래미스,"빌 머레이, 앤디 맥도웰",9.16,1537,101
/movie/bi/mi/basic.nhn?code=17153,토이 스토리,토이 스토리,존 라세터,"톰 행크스, 팀 알렌",9.31,1373,77
/movie/bi/mi/basic.nhn?code=18552,페이스 오프,페이스 오프,오우삼,"존 트라볼타, 니콜라스 케이지",9.23,1824,138
/movie/bi/mi/basic.nhn?code=34181,오세암,오세암,성백엽,"김서영, 박선영",9.3,2155,75
/movie/bi/mi/basic.nhn?code=19303,원령 공주,모노노케 히메,미야자키 하야오,"마츠다 요지, 미와 아키히로, 이시다 유리코",9.36,4566,135
/movie/bi/mi/basic.nhn?code=18543,서유기 2 - 선리기연,서유기 2 - 선리기연,유진위,"주성치, 주인",9.36,3838,99
/movie/bi/mi/basic.nhn?code=10003,백 투 더 퓨쳐 2,빽 투 더 퓨쳐 2,로버트 저메키스,"마이클 J. 폭스, 크리스토퍼 로이드",9.24,1028,107
/movie/bi/mi/basic.nhn?code=17869,일급 살인,일급 살인,마크 로코,"크리스찬 슬레이터, 케빈 베이컨, 게리 올드만",9.3,1978,122
/movie/bi/mi/basic.nhn?code=63513,시간을 달리는 소녀,시간을 달리는 소녀,호소다 마모루,"나카 리이사, 이시다 타쿠야",9.2,11250,97
/movie/bi/mi/basic.nhn?code=35187,피아니스트,피아니스트,로만 폴란스키,"애드리언 브로디, 토마스 크레취만",9.32,6508,148
/movie/bi/mi/basic.nhn?code=35939,클래식,클래식,곽재용,"손예진, 조승우, 조인성",9.39,9216,132
/movie/bi/mi/basic.nhn?code=10936,가위손,가위손,팀 버튼,"조니 뎁, 위노나 라이더, 다이앤 위스트",9.25,3807,100
/movie/bi/mi/basic.nhn?code=52120,업,업,"피트 닥터, 밥 피터슨","에드워드 애스너, 조던 나가이, 크리스토퍼 플러머",9.32,6273,101
