순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,장르,등급,영화구분,screens,total_viewer,directors,main_actor_list,ntz_score_list,ntz_count_list,running_time_list
487,파괴된 사나이,우민호,"아이러브시네마,(주)아이필름홀딩스",,(주)시너지하우스 (시너지),2010-07-01,개봉영화,장편,한국,드라마,청소년관람불가,일반영화,190,1030285,우민호,"김명민, 엄기준, 박주미",7.71,6031,114
489,오직 그대만,송일곤,"(주)51k,(주)에이치비엔터테인먼트",,(주)쇼박스,2011-10-20,개봉영화,장편,한국,멜로/로맨스,15세이상관람가,일반영화,435,1027622,송일곤,"소지섭, 한효주",9.13,7482,105
490,개구쟁이 스머프,라자 고스넬,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-08-11,개봉영화,장편,미국,애니메이션,전체관람가,일반영화,399,1027438,라자 고스넬,"닐 패트릭 해리스, 소피아 베르가라",8.54,983,101
491,로그 원: 스타워즈 스토리,가렛 에드워즈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2016-12-28,개봉영화,장편,미국,액션,12세이상관람가,일반영화,907,1019309,가렛 에드워즈,"펠리시티 존스, 디에고 루나, 매즈 미켈슨",8.48,5526,133
492,본 레거시,토니 길로이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-09-06,개봉영화,장편,미국,액션,15세이상관람가,일반영화,585,1015711,토니 길로이,"제레미 레너, 에드워드 노튼, 레이첼 와이즈",7.12,5429,135
493,더 넌,코린 하디,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-09-19,개봉영화,장편,미국,공포(호러),15세이상관람가,일반영화,824,1011580,코린 하디,"타이사 파미가, 데미안 비쉬어, 보니 아론스",6.66,5667,96
494,심장이 뛴다,윤재근,"(주)오죤필름,(유)대결문화산업전문회사",,롯데쇼핑㈜롯데엔터테인먼트,2011-01-05,개봉영화,장편,한국,드라마,15세이상관람가,일반영화,445,1006947,윤재근,"김윤진, 박해일",7.54,4387,114
496,라푼젤,"네이슨 그레노,바이론 하워드",,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-02-10,개봉영화,장편,미국,애니메이션,전체관람가,일반영화,328,1006075,네이슨 그레노,"맨디 무어, 제커리 레비",9.34,6902,100
497,존 윅 3: 파라벨룸,채드 스타헬스키,,(유)조이앤시네마,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2019-06-26,개봉영화,장편,미국,액션,청소년관람불가,일반영화,849,1004347,채드 스타헬스키,키아누 리브스,8.01,5871,131
498,스카이스크래퍼,로슨 마샬 터버,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-07-11,개봉영화,장편,미국,액션,12세이상관람가,일반영화,831,1002858,로슨 마샬 터버,"드웨인 존슨, 니브 캠벨",7.57,3748,102
500,염력,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2018-01-31,개봉영화,장편,한국,드라마,15세이상관람가,일반영화,1099,990104,연상호,"류승룡, 심은경",4.99,10442,101
502,방황하는 칼날,이정호,(주)에코필름,,씨제이이앤엠(주),2014-04-10,개봉영화,장편,한국,범죄,청소년관람불가,일반영화,594,987420,이정호,"정재영, 이성민",7.73,3930,122
503,시체가 돌아왔다,우선호,(주)씨네이천,,씨제이이앤엠(주),2012-03-29,개봉영화,장편,한국,범죄,15세이상관람가,일반영화,435,986547,우선호,"이범수, 류승범, 김옥빈",7.43,2724,110
504,미쓰 와이프,강효진,(주)영화사아이비젼,,메가박스중앙(주)플러스엠,2015-08-13,개봉영화,장편,한국,코미디,15세이상관람가,일반영화,437,984265,강효진,"엄정화, 송승헌",8.94,6943,125
505,파퍼씨네 펭귄들,마크 워터스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-09-07,개봉영화,장편,미국,코미디,전체관람가,일반영화,333,979739,마크 워터스,"짐 캐리, 칼라 구기노, 안젤라 랜즈베리",8.51,1987,95
506,로보캅,호세 파딜라,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-02-13,개봉영화,장편,미국,액션,12세이상관람가,일반영화,627,979509,호세 파딜라,"조엘 킨나만, 사무엘 L. 잭슨, 게리 올드만",8.01,3893,121
507,원더풀 라디오,권칠인,"(주)영화사아이비젼,(주)대명문화공장",,(주)쇼박스,2012-01-05,개봉영화,장편,한국,드라마,15세이상관람가,일반영화,474,977470,권칠인,"이민정, 이정진",7.58,3447,120
